ticker,side,entry_date,entry_price,shares,units,last_add,notes,status,exit_date,exit_price
XIFR,long,2026-08-31,12.0,,1,2026-08-31,auto: ADD LONG,closed,2026-09-10,11.479999542236328
XOM,long,2026-08-31,160.9499969482422,,1,2026-08-31,auto: ADD LONG,closed,2026-09-21,158.3000030517578
YPF,long,2026-08-31,51.58000183105469,,1,2026-08-31,auto: ADD LONG,open,,
BP,long,2026-09-01,44.470001220703125,,1,2026-09-01,auto: ADD LONG,closed,2026-09-21,43.15999984741211
COPX,long,2026-09-01,89.23999786376953,,1,2026-09-01,auto: ADD LONG,closed,2026-09-10,88.61000061035156
GDX,long,2026-09-01,94.66999816894533,,1,2026-09-01,auto: ADD LONG,closed,2026-09-14,94.13999938964844
GDXJ,long,2026-09-01,122.27999877929688,,1,2026-09-01,auto: ADD LONG,closed,2026-09-14,120.88999938964844
IHF,long,2026-09-01,57.43000030517578,,1,2026-09-01,auto: ADD LONG,closed,2026-09-09,56.7400016784668
PAM,long,2026-09-01,84.08000183105469,,1,2026-09-01,auto: ADD LONG,closed,2026-09-18,81.55000305175781
SILJ,long,2026-09-01,30.030000686645508,,1,2026-09-01,auto: ADD LONG,closed,2026-09-14,29.36000061035156
ENZL,long,2026-09-02,47.900001525878906,,1,2026-09-02,auto: ADD LONG,closed,2026-09-08,46.869998931884766
EWA,long,2026-09-02,30.030000686645508,,1,2026-09-02,auto: ADD LONG,closed,2026-09-09,29.6200008392334
EWC,long,2026-09-02,61.27000045776367,,1,2026-09-02,auto: ADD LONG,closed,2026-09-09,60.9900016784668
PINK,long,2026-09-02,39.70000076293945,,1,2026-09-02,auto: ADD LONG,closed,2026-09-04,39.72200012207031
PSCH,long,2026-09-02,54.880001068115234,,1,2026-09-02,auto: ADD LONG,closed,2026-09-03,54.75
XLF,long,2026-09-02,57.65999984741211,,1,2026-09-02,auto: ADD LONG,closed,2026-09-08,57.29999923706055
BAC,long,2026-09-03,63.040000915527344,,1,2026-09-03,auto: ADD LONG,closed,2026-09-04,62.68000030517578
CPER,long,2026-09-03,39.90999984741211,,1,2026-09-03,auto: ADD LONG,closed,2026-09-10,39.040000915527344
CRWD,long,2026-09-03,214.97000122070312,,1,2026-09-03,auto: ADD LONG,closed,2026-09-09,207.8000030517578
EWG,long,2026-09-03,43.91999816894531,,1,2026-09-03,auto: ADD LONG,closed,2026-09-08,43.56999969482422
GRNY,long,2026-09-03,28.13999938964844,,1,2026-09-03,auto: ADD LONG,closed,2026-09-10,27.530000686645508
IAK,long,2026-09-03,147.8699951171875,,1,2026-09-03,auto: ADD LONG,closed,2026-09-04,145.55999755859375
